,Nombre Hotel,Comentario,Sentimiento,Sentimiento_VADER
10,affinia,"Primero entro al vestíbulo bellamente decorado del hotel Affinia Chicago, donde el conserje me saluda por mi nombre. Me dice que se han tomado la libertad de personalizar la habitación según mi perfil desde que reservé la estancia. Me muestra mi habitación (prestando especial atención a mis maletas y asegurándose de que no tenga que mover un dedo). Efectivamente, la almohada de plumas que había seleccionado del menú de almohadas de ensueño se encuentra orgullosamente encima de la reina del dominio, que por el camino está cubierto con las más suaves colchas, lo que me hace preguntarme si no literalmente arrastraron una nube hasta aquí y la colocaron en mi cama. Noto que hay una exhibición de champán y pastelitos (!) encima de la cómoda y mi ""kit de experiencia"" que viene completo con un iPod shuffle descargado con solo mis pistas de entrenamiento favoritas y una estera de yoga. namaste. Incapaz de resistir la tentación de inspeccionar el baño, descubro que no solo hay una ducha de vidrio invisible con azulejos de mármol, sino también un jacuzzi, revestido con velas de vainilla, lo suficientemente profundo como para bañar a una morsa. Sintiéndome como una niña, dejo correr el agua y la pruebo antes de ir a cenar. El restaurante C-house del hotel ofrece el más delicioso menú de mariscos que te hará pensar que estás cenando con los reyes del paraíso. o al menos comer en el propio Caribe. Hmm, debería haber traído una cita.",NEUTRAL,POSITIVO
11,affinia,¡El Affinia Manhattan es fantástico! Mi marido y yo nos alojamos allí cuando fuimos a visitar a mi hermana. Me encantó la habitación. Fue una de las mejores camas de hotel en las que hemos dormido. La vista era increíble. Manhattan es uno de los lugares más bellos en los que he estado. El personal también fue muy servicial. No tuvieron ningún problema en hacer todo lo posible para ayudar. ¡Recomendaría este hotel a cualquiera!,NEUTRAL,POSITIVO
12,affinia,"Recientemente me alojé en el hotel Affinia en Chicago y fue una de las peores experiencias que he tenido en un hotel de alta gama. Estuve en Chicago para asistir a una conferencia y pensé que disfrutaría más la experiencia si tuviera un lugar agradable y relajante al que regresar, pero este hotel definitivamente no era ese lugar. Los restaurantes eran, en el mejor de los casos, mediocres, a pesar de sus altos precios; En repetidas ocasiones recibí comida blanda, demasiado cocida o tibia. La habitación estaba bien, pero nada especial; Creo que me habría sentido igual de cómodo en casi cualquier hotel del centro de Chicago. Sin embargo, una gran parte de mi incomodidad e insatisfacción con el hotel fue con su programa Jet Set Pets; Es difícil encontrar un hotel decente y relajante que me guste y que también acepte a mi perro. Pero muchos de los empleados fueron groseros con mi perro adoptivo, que es enérgico y ama a la gente, pero no es el perro más fotogénico: tiene una cicatriz en la cara y ese aspecto de terrier. Varias personas se burlaron de él, dijeron que no tenía sentido acicalarlo o me preguntaron por qué quería que durmiera en una cama de mi habitación. Sé que es un hotel de bastante alto nivel, pero espero un mejor servicio independientemente de las asociaciones de clase de los perros. Espero que al menos traten bien a todos los perros alojados allí. La experiencia fue en general frustrante e insatisfactoria, especialmente por el precio. Puedo darles buenas calificaciones por sus servicios de spa y realmente aprecié el ""menú"" de almohadas, pero aparte de eso, no me pareció una experiencia particularmente lujosa o indulgente, especialmente teniendo en cuenta el servicio al cliente.",POSITIVO,NEGATIVO
13,affinia,"Estaba en la ciudad para visitar a mi prima y me hospedé tres noches en este maravilloso hotel. Está muy cerca de las tiendas que quería hacer con mi prima, aunque tenía una guía personal, es decir, mi prima Janice. Las comodidades eran increíbles y el servicio era excelente, con la máxima hospitalidad. Se lo recomendaría a todo el mundo, es ideal para niños y adultos. La habitación y la vista eran espectaculares, las camas eran muy cómodas y la habitación estaba impecable.",POSITIVO,NEUTRAL
14,affinia,"Tuvimos el placer de disfrutar de una estadía en el Affinia Chicago Hotel. Nos pareció que estaba convenientemente ubicado en E. Superior Street, cerca de muchas atracciones locales. Las habitaciones eran modernas y elegantes con un toque muy urbano. El menú de almohadas era increíble, mi pareja y yo tenemos preferencias tan diferentes, que las opciones nos permitieron dormir como si estuviéramos en casa. La distribución de las habitaciones del hotel era cómoda y espaciosa, ¡con todos los detalles necesarios para que nuestra estadía fuera perfecta! No podía creer las comodidades disponibles para los huéspedes. Mi Beagle, Betsy, disfrutó de su estadía en el centro de atención ""Jet Set Pet"". La mimaron tanto como a mí. Fue un gran consuelo saber que podíamos llevarla con nosotros y que podíamos disfrutar de nuestra estadía sin el estrés y la preocupación que conlleva viajar y tener una mascota. Otra característica que disfruté personalmente fue el kit de recorrido a pie. Incluía un iPod Shuffle precargado con una lista de reproducción de ejercicios, una baraja de cartas, una guía que incluía recorridos a pie y artículos de confort como una toalla y un mapa. Me sentí como si fuera el huésped más importante (seguramente, todos se sintieron así cuando ingresaron a sus habitaciones). ¡Muy recomendable para cualquiera que tenga la oportunidad de viajar en la zona de un hotel Affinia!",POSITIVO,NEUTRAL
15,affinia,"Mi marido y yo llegamos para una estancia de 3 noches para celebrar nuestro décimo aniversario de boda. Habíamos reservado una habitación ejecutiva, al llegar nos informaron que nos pasarían a una hermosa Junior Suite. Esto fue simplemente una maravillosa e inesperada ventaja para nuestro fin de semana bellamente planeado. El gerente de recepción fue profesional y nos hizo sentir una cálida bienvenida. El Chicago Affinia era simplemente un hotel magnífico, con un personal amable, una comida deliciosa y un ambiente fantástico. Sin mencionar las almohadas de plumas y la ropa de cama que fueron simplemente fantásticas. También se nos permitió traer al querido Shi-Tzu y él experimentó la estadía de Jet Set Pets. El cuidado fue perfecto, el servicio de guardería con el que nos sentimos completamente cómodos. Este fue un hermoso fin de semana, ¡gracias Affinia Hotels! ¡Volveríamos a visitar este hotel!",NEUTRAL,POSITIVO
16,affinia,"¡El Hotel Affinia es hermoso! Está en una excelente ubicación, el servicio es de primera y las habitaciones son muy cómodas y espaciosas. El aspecto del hotel es muy moderno, pero también resulta cálido y acogedor. ¡El restaurante es increíble! ¡Disfruté muchísimo de mi estadía y definitivamente regresaría! Si estás planeando un viaje a Chicago, ¡visita este lugar!",NEUTRAL,POSITIVO
17,affinia,"Hubo muchos aspectos positivos al alojarse en este hotel en el extremo norte de Magnificant Mile. Las habitaciones eran espaciosas y estaban hermosamente decoradas con gran atención al detalle. La calidad del servicio fue excelente, el personal profesional y la ubicación perfecta. Hay excelentes vistas de Chicago desde muchas de las habitaciones. El personal parecía preocuparse por la calidad de mi estancia desde el momento en que me saludaron al llegar hasta el momento en que me subí al taxi para irme. Hay un bonito bar/restaurante en la azotea, perfecto para una comida ligera o un cóctel refrescante con magníficas vistas de la ciudad. Realmente no hubo ningún aspecto negativo y recomendaría este hotel boutique a cualquiera que se aloje en el área de Chicago.",NEUTRAL,NEUTRAL
18,affinia,"Personal amable, edificio y habitaciones limpios. El hotel estaba situado cerca de todo lo que estábamos interesados ​​en ver. El personal estaba dispuesto a ayudar a dar direcciones y conocía muy bien la ciudad. Las habitaciones estaban bellamente diseñadas y bien iluminadas, eran espaciosas y cómodas.",NEUTRAL,POSITIVO
19,affinia,"Llevé a mi familia al Affinia Chicago para unas cortas vacaciones el verano pasado y fue fabuloso. Mis hijos dicen que su parte favorita fue la piscina y el hecho de que el parque de atracciones está muy cerca. Mi esposa estaba realmente entusiasmada con Spaffina. Los mimos y realmente la hicieron sentir especial. Y también son muy atentos con las mascotas. Dejamos a mi perro en casa, pero habría estado encantado con las comodidades y la atención de las mascotas. El hotel también está conectado con muchos otros hoteles, por lo que su premio Stash también le permite ganar puntos en muchos otros hoteles. Mi parte favorita de todo fue que mi familia estaba feliz y contenta, lo que me dejó libre para ir al Underground Wonderbar a tomar un buen cóctel.",NEUTRAL,POSITIVO
20,allegro,"Hotel Allegro Chicago es un lugar hermoso. Al principio temía estar en Chicago debido al hecho de que todo era negocios y nada de diversión, pero tan pronto como vi el interior del hotel, ¡me quedé atónito! No esperaba quedarme en un lugar que hiciera que un viaje de negocios pareciera una escapada de vacaciones. El servicio allí fue increíble, todos fueron muy amables. Cuando vi mi habitación, una vez más casi me quedé boquiabierto. La habitación era digna de un rey, los diseños en la pared eran muy elegantes. Las camas eran extraordinariamente cómodas. Creo que para mi próximo viaje de negocios traeré a mi esposa y a mis hijos. ¡Le doy a este hotel Kimpton 5/5 estrellas!",NEUTRAL,POSITIVO
21,allegro,"Hace poco me alojé en el Hotel Allegro en Chicago durante un viaje de negocios. Debo decir que quedé muy disgustado con el servicio que recibí durante mi estancia. Aunque su sitio web se jacta de que su personal estará a su entera disposición, los encontré muy groseros. Las camas eran extremadamente incómodas y el nivel de ruido muy alto. Los invitados de la habitación de al lado me despertaron varias veces. Aunque me quejé en recepción, no resolvieron el problema. Definitivamente no recomendaría este hotel y me alojaré en un hotel diferente si vuelvo a estar en la zona.",NEUTRAL,POSITIVO
22,allegro,"Recientemente visité Chicago. Me alojé en el Hotel Allegro Chicago. En primer lugar, no disfruté de la bienvenida cuando me registré en el hotel. El precio de mi hotel estaba por las nubes y solo lo usé para dormir y desayunar. La comida servida no estaba a la altura. Sentí que era un almuerzo ""gratis"" barato. Mi habitación estaba llena y mis cestos de basura no tenían bolsas. Mi fila de papel higiénico estaba a medio terminar cuando me registré. Sentí que los encargados de la limpieza nos miraban mal cuando entramos y salíamos de la habitación. No me sentía segura, tuve que esconder mis objetos de valor y mantuve el cartel de ""OCUPADO"" en la puerta para que nadie entrara y se llevara cosas. Las habitaciones no aparecían como aparecen en su web, en realidad es todo lo contrario. Me pareció una posada de motel normal, pero pagué mucho más de lo que habría pagado en una posada de motel real. No me di cuenta de que ninguno de los enchufes funcionaba y mi teléfono estuvo apagado durante todo el viaje. No recomendaría este hotel a nadie.",POSITIVO,NEGATIVO
23,allegro,"Visité el Hotel Allegro Chicago mientras estaba de vacaciones con mi hija. Reservé la habitación y estaba muy emocionado porque el sitio web alude a un interior muy lujoso con comodidades muy superiores a las de los hoteles de los alrededores. Me entusiasmó especialmente que hubiera un gimnasio porque hago ejercicio con regularidad y no tendría que renunciar a eso en mis vacaciones. Permítanme comenzar diciendo que el personal fue muy grosero y que me decepcionó mucho que no pudieran respetar el hecho de que estaba muy cansado después de viajar un largo camino. Reservé la estadía en el hotel por más de una semana, lo cual fue muy caro, y eso no pareció importarles en absoluto, ¡a pesar de que yo también viajaba con un niño pequeño! No hicieron nada para complacerme, y la mujer de la recepción incluso se negó groseramente a atender mis llamadas o responder preguntas sobre restaurantes cercanos, insistiendo en que, aunque trabajaba allí, ""no conocía la zona"". El gimnasio estaba en construcción, así que nunca pude usarlo. La peor experiencia hotelera de mi vida, nunca volveré. - Sandy D.",NEUTRAL,POSITIVO
24,allegro,"No me impresionó la calidad de este hotel. El aspecto general del lugar se vio empañado por lo que parecía un mantenimiento deficiente. Teniendo en cuenta que se supone que es un hotel de lujo y que cobra tarifas de ese nivel, fue una gran decepción. Tampoco me impresionó la actitud altanera que adoptó el personal del hotel.",POSITIVO,POSITIVO
25,allegro,"El Hotel Allegro, ubicado en Chicago Loop, nos brindó a mi esposa y a mí una de las peores experiencias hoteleras de los últimos tiempos. Pedimos el paquete de terapia líquida de fin de semana 48 horas antes, como se indica en su sitio web, pero para nuestra sorpresa, cuando llegamos, ¡nuestros nombres no aparecían en su sistema! No había habitación, ni alojamiento en el restaurante, no se había preparado nada para nosotros y aparentemente otra pareja ya había reservado el último espacio disponible. Un fin de semana fuera de casa se convirtió en un fin de semana infernal cuando nos pidieron que tomáramos una habitación más pequeña de la que había reservado originalmente, ¡y nunca nos ofrecieron una opción de reemplazo para cenar! Tengo un recibo y un extracto de la tarjeta de crédito que muestra que nuestras reservas se realizaron a tiempo. Nunca más nos alojaremos aquí.",NEUTRAL,POSITIVO
26,allegro,"Mi hija quería pasar el fin de semana en Chicago recientemente por su cumpleaños número 21 y yo quería encontrar el mejor hotel para su experiencia. Miré el sitio web del hotel y me gustó mucho la insistencia del Hotel Allegro en ofrecer comida orgánica y servicios de spa en la habitación, así que nos reservé para una noche de viernes y sábado. Al llegar, el comportamiento del personal del hotel fue grosero y distante. No lo suficiente como para justificar una queja verbal, pero sí lo suficiente como para que mi hija y yo nos sintamos incómodos. Después del check-in, que tomó al menos 20 minutos debido a la grave falta de personal, nos dirigimos a nuestra habitación tratando de ser optimistas. Nuestra habitación era mucho más pequeña de lo que sugerían las fotos en el sitio del hotel, el grifo del lavabo del baño tenía fugas lo suficiente como para emitir un sonido constantemente irritante y solo teníamos un stock de 2 toallas, que nunca fueron reemplazadas durante nuestra estadía. Nos aseguramos de pasar el mayor tiempo posible explorando la ciudad para evitar regresar al hotel. Fue una gran decepción, para mí como cliente y para mi hija como cumpleañera. Recomiendo encarecidamente a cualquiera que se aloje en este hotel. Hay opciones mucho mejores en el área de Chicago.",NEUTRAL,POSITIVO
27,allegro,"Llegué al hotel 15 minutos antes de la hora de check in como recomiendan. Cuando llego me di cuenta de que hay una pareja y otras dos personas esperando en la fila para registrarse. Diez minutos después, después de estar allí con mi maleta, la mujer de la recepción nos informa que sus computadoras no funcionan debido a una actualización reciente. al software. Nos dijo que esperáramos hasta que las computadoras se reiniciaran. Le pregunté si podía dejar mi maleta en la habitación y ella dijo que no porque necesitaban activar las tarjetas electrónicamente y con las computadoras apagadas no podían activar las tarjetas. Finalmente, otros 20 minutos más tarde, las computadoras se encendieron y finalmente conseguí mi habitación. ¿Dónde está el ""lujo"" de esperar 35 minutos por una habitación? También necesitan cambiar el nombre del hotel porque su servicio no me dejó ""allegro"".",NEUTRAL,POSITIVO
28,allegro,"Me he alojado en el Allegro durante dos días. No he tenido ningún otro problema importante, pero una cosa con la que no estoy satisfecho es la luz. La habitación está oscura. También en el baño, la luz no es buena. Tengo que abrir las cortinas. Me he quejado de esto en la recepción. Me han dicho que lo solucionarán, pero no he recibido respuesta. Estoy muy decepcionado y no volveré nunca más.",NEUTRAL,NEGATIVO
29,allegro,"Esta fue mi primera vez en Chicago y les digo que realmente me hicieron sentir como un millón de dólares. Tomé un taxi directamente desde el aeropuerto y me recibieron en la puerta unos amables caballeros que se ofrecieron a ayudarme con mi equipaje y me acompañaron hasta el mostrador de facturación. Subí a mi habitación, que estaba espectacularmente luminosa y bien iluminada, y luego pedí algo de comida. En general, la comida era deliciosa y el personal era fantástico. ¡Si no hubiera tenido una estadía tan corta en Chicago, me habría quedado en mi habitación de hotel todo el día!",POSITIVO,POSITIVO
30,allegro,"Su sitio web me cautivó lo suficiente como para reservar en línea, aunque nunca había usado su hotel. Tenía grandes expectativas cuando visité su hotel con mi familia en nuestro reciente viaje a Chicago y quedé MUY decepcionado. El primer problema fue que no había suficiente personal en la recepción. Tuvimos que esperar mucho tiempo para registrarnos. Cuando finalmente llegamos a la habitación, las camas estaban deshechas y había artículos de limpieza en el baño. ¡La criada no había terminado la habitación y se había dejado sus cosas! Por supuesto, llamamos al mostrador de inmediato y conseguimos una nueva habitación, pero fue una gran molestia. El siguiente problema fue el perro de la persona que estaba al otro lado del pasillo y abajo. Sabíamos que este era un hotel que admitía mascotas, pero imaginábamos mascotas bien controladas y que no ladraran. Este animal ladró repetidamente cuando mis hijos intentaban irse a dormir. Llamé al mostrador dos veces y finalmente cesaron los ladridos. Creo que el perro simplemente se dio por vencido porque parecía que el personal de recepción no sabía qué hacer. El mayor desastre, al menos para mis hijos y mi marido, fue que el control remoto del televisor estaba muerto. Logramos solucionarlo, pero fue solo la guinda del pastel. Su hotel se ve genial, pero estar allí no lo es. No se lo puedo recomendar a nadie.",NEUTRAL,NEGATIVO
31,allegro,"Mi esposa y yo nos alojamos recientemente en el hotel Allegro en Chicago y quedamos muy decepcionados. Dice ser un hotel de lujo, pero el aire acondicionado de nuestra unidad no funcionaba y la máquina de hielo del refrigerador era insoportablemente lenta. Llamamos para informar estos problemas a la recepción y la persona al otro lado de la línea nos aseguró que estos problemas serían solucionados. Nunca apareció nadie. Aparte de eso, había tantos niños corriendo por ahí que no podíamos pensar con claridad. Estos son solo mis dos centavos, pero le diría a cualquiera que esté considerando quedarse en el Allegro que pase y analice sus otras opciones.",NEUTRAL,POSITIVO
32,allegro,"Mi marido y yo nos alojamos en el Hotel Allegro en Chicago el verano pasado. ¡No hace falta decir que no volveremos! El hotel es muy caro para lo que ofrece. Al llegar al hotel, el personal fue muy antipático y no pudo ayudarnos con las preguntas que teníamos. La cama era muy incómoda y el ""bar de honor completamente abastecido"" solo contaba con unas pocas opciones. ¡La ducha ni siquiera funcionaba! Reservamos la suite King con jacuzzi, pero al final solo nos dieron una habitación king sin jacuzzi. ¡Yo no recomendaría este lugar!",NEUTRAL,POSITIVO
33,allegro,"Quedé muy insatisfecho con mi estancia en el Allegro. La recepcionista parecía muy molesta cuando nos acercamos a su ventana. Después de darle nuestro número de confirmación, nos hizo saber que nuestras habitaciones aún no estaban listas. Esto fue una sorpresa para mí ya que llegamos tarde en el día y el registro ya había comenzado. Después de esperar una hora para registrarnos, no pudimos obtener las características de la habitación que habíamos solicitado. Se nos informó que eran ""sólo solicitudes"" y no una garantía. El servicio de habitaciones también era muy lento y parecía falta de personal. Cuando finalmente conseguimos que alguien contestara el teléfono, se habían quedado sin casi todo lo que queríamos. La comida tardó una eternidad en llegar a la habitación y el orden tampoco era del todo correcto. Este no es el tipo de servicio que esperaba de un hotel de lujo.",NEUTRAL,NEGATIVO
34,allegro,"Mi esposa y yo estábamos ansiosos por nuestra estancia en el Hotel Allegro en Chicago. Estábamos esperando una escapada romántica. Tengo que decir que el Hotel Allegro fue una decepción para los dos. Este es un hotel que admite mascotas, lo sabíamos al entrar. Pero nos sorprendió el hecho de que encontramos pelos de mascotas en la habitación que nos dieron. En la alfombra e incluso una cantidad en la colcha de la cama. Muy impactante por el precio que estábamos pagando. Cuando llamamos a la recepción, alguien del servicio de limpieza tardó más de una hora en pasar. Más allá de esto, la habitación en sí, tiene estilo, supongo, pero no puedo imaginar que sea el estilo adecuado para muchos. Los colores utilizaron un azul brillante en la cama y un papel tapiz de diseño amarillo apagado. Ni mi esposa ni yo lo encontramos relajante en absoluto. No puedo imaginar que muchos lo harían. Realmente fue desagradable. En general, la experiencia fue un punto negativo en mi opinión. No esperamos volver pronto.",POSITIVO,POSITIVO
35,allegro,"Mi esposa y yo estuvimos invitados en el Hotel Allego en Chicago para una escapada de fin de semana largo (del 2 al 5 de septiembre de 2011). Habíamos visitado el sitio web del hotel mucho antes de hacer la reserva y estábamos muy entusiasmados con nuestro viaje. Una vez que llegamos, el personal del hotel nos informó que la habitación que solicitamos no estaba disponible y nos llevó a una habitación diferente que olía bastante a moho. Cuando pedí que me trasladaran a otra habitación (mi esposa tiene asma), nos dijeron cortésmente que no podíamos cambiarnos en ese momento. La habitación no estaba muy bien limpia: encontramos pelos de huéspedes anteriores en el lavabo del baño y en el suelo, y una película de polvo sobre el televisor. No somos de los que se quejan, así que salimos a explorar la ciudad y asumimos que eso sería lo peor. Por la noche, cuando intentamos dormir, descubrimos que la cama se hundía terriblemente en el medio y las paredes eran tan delgadas que cada conversación cercana se podía escuchar perfectamente. Estuvimos dando vueltas y vueltas la mitad de la noche. Por la mañana esperábamos que un entrenamiento rápido nos ayudara a tener energía para el día, pero descubrimos que el centro de bienestar y fitness descrito en el sitio web no era en absoluto lo que esperábamos: algunas cintas de correr y un soporte de pesas en ruinas. El conserje casi nunca estaba en el vestíbulo (su letrero siempre decía ""¡Vuelvo enseguida!"") y cuando le hacíamos preguntas, en realidad se mostraba algo fría y grosera con nosotros. La segunda noche transcurrió sin incidentes, afortunadamente, excepto por la terrible cama, pero la tercera noche nos despertó tres veces el personal del hotel tratando de entrar a la habitación para limpiar a pesar de nuestro cartel de ""No molestar"". Yo no recomendaría este hotel.",NEGATIVO,NEGATIVO
36,allegro,"Este hotel es vertiginoso con todos los colores y patrones llamativos por todas partes. Huele porque se permiten mascotas. Este hotel también está extremadamente sucio debido a que se permiten mascotas. Había moho en nuestra habitación y baño, ¡pelos de mascotas por todas partes! A los niños les encantan las piscinas. ¿Cómo pueden decir que son aptos para niños sin uno? Mi hijo estaba aburrido. La comida era básicamente la misma todos los días, sin variaciones en el menú. Las fotografías de las habitaciones en su sitio web deben reservarse para su ""club de viajes"" porque nuestra habitación no se parecía ni remotamente a las fotografías. Hicieron el viejo cebo y cambiaron. Reservamos una ""habitación familiar"". Cuando abrimos la puerta de nuestra habitación, nos dimos cuenta de que no era lo que mostraba el sitio web ni tenía lo que describía el sitio web. Mantuvimos la boca cerrada por miedo a represalias por parte de los trabajadores del hotel. ¡Definitivamente no recomiendo este hotel!",POSITIVO,NEGATIVO
37,allegro,"Si bien el hotel se veía absolutamente encantador desde el exterior, mi experiencia fue cuesta abajo una vez que entré. La iluminación es muy pobre, lo que crea una atmósfera muy oscura y lúgubre. El ambiente estuvo acompañado por miembros del personal poco amigables que hicieron que nuestro check-in pareciera nada más que una gran molestia. No recomendaría este hotel a nadie que busque una noche tranquila o una estancia agradable. Definitivamente no me quedaría aquí de nuevo.",NEUTRAL,POSITIVO
38,allegro,"Como esta era nuestra primera visita a la ""ciudad del viento"", queríamos quedarnos en un lugar central y único. Leímos muchas críticas excelentes sobre la marca Kimpton, así que lo intentamos. El ""ir"" terminó siendo un ""no ir"". Nos sentimos profundamente decepcionados. Cuando llegamos, las señoras de la recepción fueron muy amables. Tenemos dos niños con nosotros, así que necesitábamos una cuna para nuestro bebé de 6 meses. Nos dijeron ""no hay problema"". Desafortunadamente, les tomó alrededor de 1 o 2 horas conseguirnos la cuna y no sabíamos qué hacer a continuación. Luego, notamos un error (o errores) cerca del área del refrigerador. ¡Ay! Llamamos al piso de abajo para quejarnos y que nos cambiaran a una habitación diferente (¡o piso!). Nuestra solicitud fue atendida unos 30 minutos más tarde. En ese momento, estábamos tan cansados ​​por el vuelo y las primeras impresiones que casi queríamos tirar la toalla. ¡El servicio al cliente fue tan deficiente! Queríamos instalarnos e ir a descansar un poco a la ciudad, pero tuvimos que esperar por nuestra nueva habitación y la cuna. ¡Esto no es lo que esperábamos en absoluto por este ALTO precio! Tendremos que pensarlo mucho antes de volver a reservar en un hotel de Kimpton.",NEUTRAL,NEGATIVO
39,allegro,"Este hotel no era en absoluto lo que esperaba que fuera. El sitio web y sus fotografías muestran el hotel en mejores condiciones de las que realmente se encuentran. Las comodidades no eran lo que estaba buscando y el precio del hotel no era una buena relación calidad-precio para lo que se ofrecía allí. Mi membresía AAA no me dio un descuento muy bueno como ocurre en la mayoría de los hoteles. El personal no fue muy amable ni servicial cuando tuve preguntas sobre el área, y no fueron muy rápidos al responder a las solicitudes. Entiendo que hubo muchos huéspedes alojados allí mientras yo estuve allí, pero necesitan tener más personal disponible si no pueden brindar a los huéspedes del hotel un servicio de calidad. No creo que vuelva a alojarme en este hotel pronto.",NEUTRAL,NEGATIVO
40,amalfi,"Mi reciente estancia en el Hotel Amalfi de Chicago no podría haber sido peor. Aparte del precio de la estancia allí y el lento tiempo de respuesta del personal del hotel, la comida que se podía encontrar allí me decepcionó totalmente. Hay muchas atracciones en la zona y, de hecho, salir del hotel es la mejor parte de la experiencia.",NEUTRAL,POSITIVO
