Unnamed: 0.1,Unnamed: 0,Translated_Review,Rating,Sentimiento_VADER,Sentimiento,SENTIMIENTO_CALCULADO
88,88,"La peor experiencia en un hotel. Reservamos una habitación para no fumadores en línea con semanas de anticipación. Nos quedamos en Crowne Plaza Downtown Seattle. El personal de recepción pidió que consideren la habitación para fumadores. Es completamente inaceptable. La familia dijo claramente que no, no consideren la habitación para fumadores. Principalmente se preocupan por la salud de la hija del bebé. Un miembro del personal en particular fue a hablar en voz baja. El miembro del personal de recepción estuvo de acuerdo con la habitación en particular. Al ingresar a la habitación, el olor a humo de cigarrillo era evidente, no imaginaba que el personal de recepción fumara intencionalmente en la habitación. Informaron que días después, descubrieron que el cenicero y los fósforos estaban revisados ​​en el mostrador. Descubrieron que la habitación para fumadores no se había reservado intencionalmente. La ropa y las pertenencias del bebé apestaban a humo de cigarrillo. Además, la falta de preocupación por la salud de los deseos. La habitación no recibió servicio durante la noche. Pregunté al gerente de recepción que no había recibido servicio de limpieza y le informaron que no molestaran. No molestaron, no colocaron la etiqueta dentro de la puerta todo el tiempo. El personal esperaba ansiosamente. Basura. Pañales sucios. Reemplazar las toallas. El gerente de recepción ofreció una compensación patética. Desayuno de cortesía en el hotel. La familia estuvo expuesta a humos cancerígenos de cigarrillo durante días sin limpiar las habitaciones. Definitivamente, quédese en el Crowne Plaza Hotel.",1,NEGATIVO,POSITIVO,NEGATIVO
92,92,"pintoresco no deteriorado hijo decidió celebrar graduación viaje de la escuela secundaria a Seattle, eligió posada queen anne proximidad experiencia musical proyecto space needle tiendas funky restaurantes cercanos, hotel descrito pintoresco fotos sitio web del hotel agradable dio una foto. al entrar al hotel saludaron alfombra vestíbulo sucio roto, uh-oh pensé que no era buena señal, escritorio overbooking pagué reservas confirmadas llegada tardía 2 semanas antes habitación dejó 2 camas, tomó apresuradamente dejó cosas habitación tomar un bocado rápido, al regresar para dormir notó que la habitación no tenía aire acondicionado ventanas no abiertas hijo cama doble limpia gemelas sábanas peludas armario, no hablo de cama extraíble de pared antigua - esta en realidad pequeña cama gemela atiborrada armario, fui a la cocina pequeña restos refrigerador refrigerador moho no funcionaba, fui a la recepción quejarse dijo que nada apestaba trató de dormir, tomó sábanas cama usada hijos manta finalmente el armario se congestionó saltó hijo cama ventilador, mañana experimenté problemas de plomería inodoro ducha chinches baño, empaqué miró cama asegúrese de que lo consiguiera descubrió posesiones se quedó hizo, las amas de llaves no limpiaron las camas cambiaron sábanas, canceló el resto quedarse decidió irse seattle condujo a anacortes se quedó cap sante inn-palace en comparación con la noche anterior. le escribí al gerente La reina Ana solicita un reembolso, recibió una carta que decía que no se había entregado el reembolso, le dio un cupón para quedarse, use la palabra pintoresca Reina Ana usa publicidad que no está descuidada. Mi consejo para cualquiera que se quede es que revise la habitación, haga una inspección con guantes blancos, asegúrese de que funciona y acepte quedarse. Por cierto, la política de la Reina Ana es reservar la habitación con tarjeta de crédito inmediatamente, no se reembolsará la cancelación con 72 horas de anticipación, ridículo.",1,NEGATIVO,NEUTRAL,NEGATIVO
97,97,"terrible hotel hace aproximadamente 2 semanas 25 de abril de 2007 reserva hotel noche 19 2007, escribió solicitud de seguimiento respuesta recomendó reserva cancelada overbooking. No di el número de reserva solo escribí solo diciendo lo siento sin hacer ningún esfuerzo habitación cerca del hotel, le envía un correo electrónico al gerente de operaciones de brigeta, no escrito aproximadamente 2 semanas estancia positiva izquierda scrambe nuevo hotel lobby inn queen anne. practico imperdonable especialmente ligero tener número de reserva que garantiza la habitación 19 2007. punto hacer reservas anticipadas el hotel cancelar repentinamente con poco aviso previo sinceramente greg scanlonsan francisco,",1,NEGATIVO,NEGATIVO,NEGATIVO
99,99,"problemas de lugar viejo y rechoncho la cabeza comienza a dar vueltas pensando en empezar, llegó como a las 10 p. m. el check-in dijo en la calle del parque porque no queda estacionamiento en el lote, habitación alfombra pequeña manchas sucias, la habitación vino cocina usada desagradable, especialmente la hora del refrigerador se abrió olor desagradable verduras podridas brotaron refrigerador llenó toda la habitación , de día por la noche se escucha a la gente hablando caminando por las escaleras justo afuera, el ruido de las calles justo afuera de la ventana es sustancial, simplemente no hay un lugar con aislamiento acústico, el baño sorprendentemente limpio, la habitación parecía estar bien mantenida, la presión de la ducha era horrible, la estancia dejó correr el agua caliente dos veces, de hecho, por la mañana se duchó con agua fría, básicamente, comienzo y fin. , el personal de recepción en general es agradable, el tipo es completamente indiferente, inútil, no estoy seguro del problema, le gustó el lugar, ventilador de techo, vestidor, pagó 100 por noche, supongamos que es razonable en el área del centro de Seattle, pague 40 noches de estadía en Holiday Inn Express, básicamente no puedo recomendar el lugar ,",1,NEGATIVO,NEGATIVO,NEGATIVO
101,101,"volcado se quedó el fin de semana esperado encantador 1929 propiedad basada en reseñas de sitios web expedia, no esperaba encantador personal medio incompetente duchas aleatoriamente frío hirviendo presión media solo goteo techos acústicos horteras mohosas ventanas no funcionales ducha sin mamparas ventanas sin aire acondicionado queda espacio servicio de limpieza desbloqueado haber esperado 18 horas hierro dio 30 minutos hacer la boda tener auto 8 am estacionamiento escritorio de pensamiento realidad no etc. etc.expedia aparentemente no publicará críticas negativas como reunirse después de haberlo intentado 3 veces publicar llamadas en línea servicio al cliente intercambiar correos electrónicos, tenga cuidado con las reseñas de Expedia, especialmente con hoteles como,",1,NEGATIVO,NEUTRAL,NEGATIVO
110,110,"divertido encantador solo asuntos necesarios se quedó días de marqueen marzo viaje turístico seattle intención de visitar sitios turísticos haber viajado en tiempos de negocios de seattle, ubicación de marqueen perfecta centro de seattle espacio aguja emp museo de ciencia ficción museo para niños teatros intiman representante de seattle mccaw hall key arena, vecindario encantador buenos restaurantes genial no la buena selección usa días, las habitaciones están equipadas con una cocina excelente, comimos en la habitación y vamos al mercado de Larry cerca de buenas comidas frescas. El personal es amable y servicial, se ve por un tiempo, es falso, conocedor y amigable, se necesita una recomendación rápida, no dice cosas buenas del personal, realmente vale la pena, el personal de fin de semana no. amable y servicial. Los inconvenientes cama incómoda dormimos almohadas duras, ruidosos eventos clave arena bares calle especialmente los fines de semana evitar el piso de la habitación frente a los costos de la calle, no como las escaleras evitar el piso de la habitación, no hay ascensor caminar el día se vuelve agotador, vistas despejadas del día piso frente a la habitación calle preciosa. No cierras el centro de Pike Place frente al mar, caminaste un par de veces no es terrible no es aconsejable, usaste horarios de transporte fantásticos no está disponible atascado, programar el hotel con anticipación no puedo programar elegir la ciudad con posibilidades de avance, el personal de fin de semana no es servicial, se mantiene Recomendamos el autobús, tenemos servicio de traslado al hotel disponible, el servicio de transporte es realmente agradable, además hace que sea más fácil poder programarlo. Todo un lugar agradable para hospedarse, mostrando la edad un poco encantadora, mejor decoración de las habitaciones de un motel de cadena, definitivamente recomiendo la estadía en marqueen.",4,NEGATIVO,NEGATIVO,NEGATIVO
134,134,"ubicación decente personal agradable decepcionante leer críticas citysearch tripadvisor hotel moore, llamado reservar baño compartido habitación tamaño queen disponible, viví/viajé por Europa año no pensé en el problema del baño compartido, prometido baño compartido inodoro ducha todo el piso se quedó en la habitación 403, 25 habitaciones 1 baño , sí, leído correctamente 25 habitaciones Habitación para 2 personas baño, siempre día/noche/6 a.m./medianoche/mediodía intenté usar la ducha ocupada, paredes finas como el papel sin ducha inodoro habitación lejana habitación pequeña habitación sucia con lavabo cama más pequeña que la reservada miserable, preguntó Me dijeron que me cambiaran de habitación, probé el hotel Seattle 150/noche imposible, me encantó hospedarme en un hotel en la ciudad, pasé por tipos sin hogar/borrachos/drogados durante la noche de hotel, seguro que no me sentí seguro, brazo de prometido de 6'5, quería advertir experiencia, intente quedarse en Capitol Hill Belltown cerca acción en el centro/tiendas/transporte público lejos, disfrute de los lugareños seattle,",1,NEGATIVO,NEGATIVO,NEGATIVO
140,140,"Las personas más groseras no se quedan, a pesar de que el lugar genial del hotel apesta, las noches de escritorio se ejecutan. Las personas más groseras se reunieron, la habitación no fue un problema, extremadamente grosera, no escuché el problema, decepcionado,",1,NEGATIVO,NEUTRAL,NEGATIVO
141,141,"experiencia terrible estancia de una noche horrible, planeé quedarme 3 viejos y sucios, calientes, sin aire acondicionado. Conocí a 2 policías y sugerí un lugar más seguro en la ciudad, no hay precio, gasta pequeñas ventajas,",1,NEGATIVO,NEGATIVO,NEGATIVO
153,153,"Señorita, me alojé en un hotel con un amigo el fin de semana del 19 al 21 de septiembre, me hospedé con un amigo recomendado en base a libros, estadía razonable, definitivamente no es tiempo de caso, cosas decepcionantes fin de semana ejecutivo hotel pacific habitación ubicada justo enfrente de los ascensores 5.° piso, ruido de los ascensores invitados que regresan a casa temprano en la mañana ruidoso generalmente con el sueño pesado Escuche claramente por la noche, el personal de limpieza hace ruido por la mañana, dificultad para dormir después de las 7 a. m. 2. Solicitamos en línea específicamente medicamentos para la habitación del refrigerador pequeño, obviamente ignoramos las solicitudes en línea verificadas, hoteles anteriormente similares ofrecieron un refrigerador / refrigerador portátil pequeño para el propósito exacto. 3, el aire acondicionado funcionó a su vez producido El preocupante olor a quemado no se usó durante semanas, intenté abrir la ventana atascada en cm, intentar dejar que el aire fresco se enfríe en la habitación congestionada. 4, el tamaño pequeño del baño no es el problema principal, el cabezal de la ducha prácticamente no tiene presión, el tiempo de descarga del inodoro es ruidoso, se escuchan los inodoros de las habitaciones adyacentes con bastante claridad, viejo plomería deficiente.5, las razones sugeridas por el personal de recepción dijeron que la noche estaba completamente reservada cambiar de habitación la segunda noche, estuvo de acuerdo, presentó el escritorio nuevo día de la habitación el nuevo miembro del personal no declaró nada documentado reservar el cambio de habitación reservado no ayuda, hecho admitido libremente solo habitación usada el huésped revisó minutos habitaciones con overbooking 4 los huéspedes se registran, no me imagino que un hotel de buena reputación admite huéspedes, me alegro de que el check-out no regrese al hotel, el tiempo con gusto paga dólares adicionales por un servicio de habitación de hotel decente,",1,NEGATIVO,NEGATIVO,NEGATIVO
154,154,"camino intermedio no estoy seguro recomendar hotel excelente antiguo sensación camas cómodas no lo recomiendo terrible personal de servicio apariencia sucia baño, esposo se quedó el fin de semana ubicación hotel maravilloso no perfecto, condición del hotel muy perfecta, cabeceras rotas baño sensación sanitaria habitación pequeña pintura zócalos lugares, se siente como cosmético Los cambios hacen que la habitación sea atractiva, gasta mucho dinero en el hotel, sin embargo, las camas son excelentes, la televisión está bien ubicada y está convenientemente ubicada, no se siente nada histórico en Seattle, esperando impresionantes, no recomiendo el hotel, simplemente necesito hospedarme, traje bien.",3,NEGATIVO,NEGATIVO,NEGATIVO
156,156,"manténgase alejado de las habitaciones sucias, se hospedó en lugares mucho mejores en Seattle, la ventana de la celda de la prisión del tamaño de una habitación que da a la pared exterior, el inodoro silencioso con ducha y el mejor lobby de café de Seattle en el centro de la ciudad, la limusina del hotel espera pagar 30 taxi amarillo, el personal del hotel es servicial y amable.",1,NEUTRAL,NEUTRAL,NEGATIVO
160,160,"estrecho ruidoso marido sobrevalorado acaba de alojarse en el hotel a mediados de julio experiencia horrible, no habitación superior con cama tamaño queen ruidos increíblemente estrechos ascensor habitaciones para huéspedes noche de sueño casi imposible, el hotel promete comodidades acceso inalámbrico a Internet las habitaciones no funcionan, se siente como un lugar pagado con un tono amargo al comienzo de las vacaciones, noches canceladas descanso estancia reservada nuevo hotel,",1,NEGATIVO,NEGATIVO,NEGATIVO
174,174,"llegó una mejora obsoleta dada la categoría junior suite marriott silver, broma de habitación mejorada, interruptores ropa de cama rota cama vieja televisión LCD hundida radiador sentado no cama, además casi imposible cama tamaño king sin espacio para caminar, habitación alejada de la autopista ruido de la carretera malo, mi esposa no durmió guiño la noche, mañana cancelada reserva de 2 días se mudó a towneplace suites cerca del aeropuerto, mitad de precio mejor renacimiento, peor hotel en Marriott, manténgase alejado,",1,NEGATIVO,NEUTRAL,NEGATIVO
176,176,"lugar sucio, ver, inglés limitado usado, leer críticas suena como un hotel completamente diferente, me hospedé del 9/12 al 9/15 habitación nivel club piso 26. decir que las habitaciones necesitan una renovación eufemismo, no me importa generalmente década estilo problema décadas suciedad causa picazón en la habitación produce sarpullido, caso, cada vez que salía de la habitación no picaba, volví a la habitación comenzó, alfombra de color oscuro multicolor no ocultó mucho años dios sabe, no me atreví a caminar descalzo, alfombra rota azulejos de la puerta sueltos baño, por lo general las remodelaciones de hoteles comienzan costosas remodelaciones de habitaciones mucho tiempo lejos. camas camas nada especial, baño tamaño armario olvidé cerrar la puerta no es posible. para necesito saber amigos solicitaron habitación para discapacitados silla de ruedas, no hay habitación para discapacitados, habitación regular pareja ducha barras requisito legal mínimo, no servicio personal comprobar barra por supuesto hablaba inglés completamente coherente, necesito saber quiero comunicarme con el personal de limpieza tienda de regalos, increíblemente frustrante decirle al servicio de limpieza dejar toallas adicionales dibujar imágenes. el llamado estacionamiento garaje entrada sin personal completamente inseguro, necesito saber, oscuro sombra subterráneo espacios excepcionalmente estrechos, ascensores no despejados, en realidad entrar puertas escaleras vuelo llegar ascensor lugares, escaleras creer ciudad, cuidado comprobar brisa comprobar, inglés La gente habla a escondidas, el bar quiere dinero, lo que lo molesta. Sin embargo, tenga en cuenta que la tarjeta de crédito se cargó dos veces durante toda la estadía, lo que hace que el problema no se resuelva, por lo que me siento obligado a conectarme al mostrador del hotel, la gente no factura, lo intentan durante 2 días.",1,NEGATIVO,POSITIVO,NEGATIVO
180,180,"Buen hotel, buen registro, rápido, personal amable, desayuno, cafetería, bueno, caro. Las habitaciones limpias, camas cómodas, hotel céntrico, a poca distancia a pie de atracciones, al hijo de 12 años le encantó la piscina cubierta, el piso con excelentes vistas, la noche colgada. Lo malo, el tráfico de la autopista este es terrible. , Piso 23, escucha la noche, no te molesta solicitar cambio de habitación con el sueño ligero. 23.00 noche estacionamiento ridículo, estancia consiguió una buena oferta,",4,NEGATIVO,NEGATIVO,NEGATIVO
181,181,"peor experiencia de hotel pensando que reservar una habitación de hotel simplemente no, viajó a Seattle, seminario de 3 colegas de trabajo, reservé la habitación a través de Priceline preguntando por un hotel de 3 estrellas en el centro de Seattle, obtuve reservas en un hotel renacentista supuestamente de 4 estrellas, desastre, la mitad de las habitaciones conseguidas en el edificio de la autopista i-5, ruido malo grandes camiones contenedores retumbaban en las habitaciones de cambio nocturno, los tapones para los oídos no ayudaban a bloquear el ruido, las habitaciones estaban bastante deterioradas y rayaban los muebles dañados, la gerencia se quejó, pidió cambiar de habitación y le dijo a las habitaciones de Priceline que las habitaciones con descuento no esperaban huéspedes que pagaran calidad, terminé pagando 25 noches extra, lo adecuado Habitaciones. La mitad del grupo consiguió habitaciones en el hotel, la construcción comenzó temprano en la mañana y bastante tarde en la noche, las habitaciones eran terriblemente ruidosas. Los tapones para los oídos cortaban el ruido. El personal actuó como quejas. Los huéspedes no podían dormir. .también máquinas de hielo pisos rotos búsqueda 3 pisos funcionando sin intento de reparación, no hay minibar mini refrigerador habitaciones, lugar refrigerador usado eliminado todo. Las facturas renacentistas hotel de 4 estrellas, calificación basada únicamente en el vestíbulo del hotel 3 estrellas, habitaciones en mal estado, ruido, falta de servicio, personal grosero hotel renacentista de estancia prolongada de 1 estrella,",1,NEGATIVO,NEUTRAL,NEGATIVO
196,196,"horrible servicio al cliente, el peor hotel de Hilton, posiblemente el peor hotel, al tratar de revisar las pautas, siento que las personas importantes conocen los tipos de prácticas comerciales con las que se toparon. Nos hospedamos en el Hilton la segunda noche con la recepción de la boda en Hilton. Los problemas llegaron más tarde en la recepción. Breve resumen. Sucedieron cosas. Los ascensores tuvieron problemas durante la noche. sala de recepción hora adicional contrato medio reservado - un miembro del personal de Hilton desafió una pelea a puñetazos diciendo que el golpe se agravó insistió en dejarlo ir. - el jefe de seguridad se disculpó por las acciones, dijo un miembro del personal. - finalmente consiguió que la suite ejecutiva se quedara a descansar la noche. - la esposa de la policía agredió a un miembro del personal de Hilton. intentó pelear poniendo la mano, consiguiendo que seguridad nos disculpara.-después de que la policía se fue escuchando la historia hora más tarde, largos ascensores rotos, el gerente de seguridad de la noche mostró una patada, mencionó asalto, me alegro de que no se haya realizado el arresto.-después de amenazar a los abogados involucrados, incumplimiento de contrato, dijo que se quedara.-llegó 15 minutos después El gerente nocturno se disculpa y le dijo que el trabajo tenía problemas con el descuento. Al despertarme por la mañana, encontré que los vehículos de estacionamiento en la habitación con doble carga no eran nuestros. Trataba bien a la gente y decía que el trabajo revertía los cargos de inmediato. Encontré que los cargos adicionales de Hilton no estaban descritos. El personal dice que la historia es falsa. Por lo tanto, se le negó el crédito al finalizar el contrato incumplido, no estoy seguro de que se haya quemado la acción y se haya recibido abuso.",1,NEGATIVO,NEGATIVO,NEGATIVO
197,197,"De acuerdo, el peor Hilton, la peor estancia en Hilton, los miembros de Gold HH viajan mucho, el peor Hilton del mundo, una semana de vacaciones en la pierna, una hija de 10 años tomó propiedades en Hilton South Lake Tahoe, Ca Way Whistler BC, tarifa Hiltons excelente, primer cargo de 9,95 por noche, uso de la sala de Internet, Internet inalámbrico gratuito Salón ejecutivo disponible Vestíbulo de habitaciones pequeñas reconvertidas, salón ejecutivo cómico, gente de negocios empacando computadoras portátiles usando Internet gratis comiendo, bebiendo comida gratis, vista, seguro descongestionar el salón ejecutivo no cargó Internet se quedó en Hilton Honors piso notó platos sucios periódicos El pasillo no fue elegido los días allí. La sala de ejercicios, del tamaño de un vestidor, las cintas de correr, se atascaron allí. Las personas brindaron servicio de atención al cliente, botones, administración de personal de escritorio, sin habilidades de servicio al cliente. Mi auto estacionado en el Hilton Garage, la ventana se rompió, el auto fue saqueado, la seguridad del Hilton simplemente se fue. tarjeta de visita ventana rota se tomó tiempo barrer el suelo de vidrio, descubrió seguridad de Hilton sabía que el auto estaba roto dejó sentarse ventana rota días, notificó, no, fallas en serie el personal de Hilton tocó a Seattle director de seguridad de Hilton, preguntó no notificó auto roto, respuesta no política no estacionar manual, honores de hilton indicados contacto de gm el lunes, miércoles sin respuesta, finalmente redactó una carta extensa a la sede corporativa de hilton sobre seattle hilton,",1,NEGATIVO,NEUTRAL,NEGATIVO
200,200,"Quédese en muchos hoteles agradables en Seattle, no, terrible estadía, botones, equipaje perdido, los teléfonos no funcionaron, sábanas sucias, carta, el gerente respondió, reconoció, es mejor quedarse,",1,NEGATIVO,POSITIVO,NEGATIVO
202,202,"no se pierda el hotel, no se pierda el hotel, hotel lejos, joya hilton family crown, viejo, alfombra de la habitación, mancha de grasa pronunciada, temperatura difícil de controlar, habitación iluminada con luz tenue, tomar ascensores, paseo emocionante, medio tiempo, número de piso, pantalla, ascensor no funcionaba, dígito faltante, ascensor, cohete, piso pasado, puertas interiores abiertas, movimiento, piso haciendo particularmente preocupante, niño pequeño, puertas interiores del ascensor rayadas, graffiti, hombre de negocios, desayuno continental, lugar dos veces haciendo de detective por la mañana, desayuno celebrado, salas de conferencias más pequeñas, gimnasio, servicio de internet, habitación fuera de línea, reembolsos ofrecidos, pregunte específicamente, el estacionamiento, horrible, precaución, no alquile un vehículo grande y largo, haga un giro en U, se requiere segundo piso, posibilidades de quedarse cero,",2,NEGATIVO,NEGATIVO,NEGATIVO
211,211,"evitar costos pesadilla del lugar, falta de personal desordenado, llegaron a las 10 p.m. invitados teléfono de escritorio profundo que suena continuamente empleado, luego empleado solitario contratado hace una semana, habitación limpia olor medicinal líquidos de limpieza abrumadores, pasillos ascensor sucio lleno de basura, lugar absolutamente sin atractivo no cerca vale 140.00 noche,",1,NEGATIVO,NEUTRAL,NEGATIVO
231,231,"peor estadía en el hotel, sin ayuda, el conserje no tiene idea de los sitios de la ciudad especialmente, encontrar que el conserje sabía que la terminal de pescadores recomendó tomar un taxi, sin saber que los taxis no regresaron al área, se quedó atascado en la hora llamando a la asistencia del hotel sin decir nada, vi a los huéspedes molestos,",1,NEGATIVO,NEUTRAL,NEGATIVO
